check connectedCheck assembleRelease

Milliseconds;Task
115000ms;Emulator
399ms;barcodescanner:preBuild
192ms;barcodescanner:compileDebugAidl
179ms;barcodescanner:compileDebugRenderscript
108ms;barcodescanner:packageDebugResources
68ms;barcodescanner:processDebugManifest
1481ms;barcodescanner:processDebugResources
166ms;barcodescanner:compileDebugJava
102ms;barcodescanner:compileReleaseRenderscript
55ms;barcodescanner:mergeReleaseAssets
94ms;barcodescanner:packageReleaseResources
91ms;barcodescanner:processReleaseResources
116ms;barcodescanner:compileReleaseJava
16626ms;barcodescanner:lint
131ms;barcodescanner:packageReleaseJar
85ms;barcodescanner:bundleRelease
110ms;launcher-app:preBuild
213ms;launcher-app:prepareDkAauCsGirafGirafComponent13SNAPSHOTLibrary
500ms;launcher-app:mergeDebugResources
299ms;launcher-app:processDebugResources
66ms;launcher-app:compileDebugJava
57ms;launcher-app:renameApk
104ms;launcher-app:generateReleaseBuildConfig
327ms;launcher-app:mergeReleaseResources
585ms;launcher-app:processReleaseManifest
1582ms;launcher-app:processReleaseResources
3519ms;launcher-app:compileReleaseJava
318ms;launcher-app:mergeUnsignedBuildResources
164ms;launcher-app:processUnsignedBuildResources
118ms;launcher-app:compileUnsignedBuildJava
13448ms;launcher-app:lint
165ms;barcodescanner:mergeDebugTestResources
94ms;barcodescanner:compileDebugTestJava
86ms;barcodescanner:connectedAndroidTest
94ms;launcher-app:unzipJacocoAgent
166ms;launcher-app:instrumentDebug
2479ms;launcher-app:packageDebug
207ms;launcher-app:zipalignDebug
88ms;launcher-app:compileDebugTestJava
112287ms;launcher-app:connectedAndroidTest
2579ms;launcher-app:createDebugCoverageReport

61ms;barcodescanner:compileLint
73ms;barcodescanner:mergeReleaseProguardFiles
631ms;barcodescanner:preBuild
61ms;barcodescanner:compileReleaseAidl
109ms;barcodescanner:compileReleaseRenderscript
92ms;barcodescanner:packageReleaseResources
65ms;barcodescanner:processReleaseManifest
87ms;barcodescanner:processReleaseResources
1300ms;barcodescanner:compileReleaseJava
126ms;barcodescanner:packageReleaseJar
99ms;launcher-app:preBuild
197ms;launcher-app:prepareDkAauCsGirafGirafComponent13SNAPSHOTLibrary
88ms;launcher-app:renameApk
350ms;launcher-app:mergeReleaseResources
263ms;launcher-app:processReleaseResources
60ms;launcher-app:compileReleaseJava
9898ms;launcher-app:lintVitalRelease
8206ms;launcher-app:dexRelease
2328ms;launcher-app:packageRelease
237ms;launcher-app:zipalignRelease
