clean check connectedCheck increaseVersionCode assembleRelease publishApkRelease

115000ms;emulator
480ms;barcodescanner:clean
1072ms;launcher-app:clean
260ms;barcodescanner:preBuild
289ms;barcodescanner:compileDebugAidl
288ms;barcodescanner:compileDebugRenderscript
124ms;barcodescanner:generateDebugBuildConfig
249ms;barcodescanner:mergeDebugAssets
3714ms;barcodescanner:packageDebugResources
535ms;barcodescanner:processDebugManifest
961ms;barcodescanner:processDebugResources
5217ms;barcodescanner:compileDebugJava
88ms;barcodescanner:compileReleaseRenderscript
56ms;barcodescanner:mergeReleaseAssets
1111ms;barcodescanner:packageReleaseResources
216ms;barcodescanner:processReleaseManifest
306ms;barcodescanner:processReleaseResources
2530ms;barcodescanner:compileReleaseJava
15176ms;barcodescanner:lint
376ms;barcodescanner:packageReleaseJar
273ms;barcodescanner:bundleRelease
103ms;launcher-app:preBuild
180ms;launcher-app:prepareComAndroidSupportSupportV42103Library
572ms;launcher-app:prepareDkAauCsGirafGirafComponent13SNAPSHOTLibrary
86ms;launcher-app:prepareDkAauCsGirafLocalDb11SNAPSHOTLibrary
57ms;launcher-app:prepareFrAvianeyComViewpagerindicatorLibrary241Library
142ms;launcher-app:prepareWorkspaceBarcodescannerUnspecifiedLibrary
24311ms;launcher-app:mergeDebugResources
174ms;launcher-app:processDebugManifest
713ms;launcher-app:processDebugResources
1518ms;launcher-app:compileDebugJava
62ms;launcher-app:renameApk
24702ms;launcher-app:mergeReleaseResources
513ms;launcher-app:processReleaseManifest
1132ms;launcher-app:processReleaseResources
1123ms;launcher-app:compileReleaseJava
58ms;launcher-app:mergeUnsignedBuildAssets
24533ms;launcher-app:mergeUnsignedBuildResources
183ms;launcher-app:processUnsignedBuildManifest
663ms;launcher-app:processUnsignedBuildResources
925ms;launcher-app:compileUnsignedBuildJava
14689ms;launcher-app:lint
131ms;barcodescanner:packageDebugJar
184ms;barcodescanner:bundleDebug
124ms;barcodescanner:processDebugTestManifest
59ms;barcodescanner:mergeDebugTestAssets
682ms;barcodescanner:mergeDebugTestResources
387ms;barcodescanner:processDebugTestResources
60ms;barcodescanner:compileDebugTestJava
10549ms;barcodescanner:preDexDebugTest
1535ms;barcodescanner:dexDebugTest
658ms;barcodescanner:packageDebugTest
73ms;barcodescanner:connectedAndroidTest
1643ms;launcher-app:instrumentDebug
65082ms;launcher-app:preDexDebug
7332ms;launcher-app:dexDebug
1658ms;launcher-app:packageDebug
248ms;launcher-app:zipalignDebug
158ms;launcher-app:prepareComAndroidSupportTestEspressoEspressoCore20Library
57ms;launcher-app:processDebugTestManifest
278ms;launcher-app:processDebugTestResources
303ms;launcher-app:compileDebugTestJava
40104ms;launcher-app:preDexDebugTest
3085ms;launcher-app:dexDebugTest
1016ms;launcher-app:packageDebugTest
116567ms;launcher-app:connectedAndroidTest
1621ms;launcher-app:createDebugCoverageReport

115ms;launcher-app:increaseVersionCode
69ms;barcodescanner:mergeReleaseProguardFiles
217ms;barcodescanner:preBuild
138ms;barcodescanner:compileReleaseRenderscript
159ms;barcodescanner:packageReleaseResources
69ms;barcodescanner:processReleaseManifest
79ms;barcodescanner:processReleaseResources
1207ms;barcodescanner:compileReleaseJava
160ms;barcodescanner:packageReleaseJar
57ms;launcher-app:preBuild
55ms;launcher-app:prepareComAndroidSupportSupportV42103Library
140ms;launcher-app:prepareDkAauCsGirafGirafComponent13SNAPSHOTLibrary
73ms;launcher-app:renameApk
136ms;launcher-app:generateReleaseBuildConfig
494ms;launcher-app:mergeReleaseResources
761ms;launcher-app:processReleaseManifest
1766ms;launcher-app:processReleaseResources
3450ms;launcher-app:compileReleaseJava
9021ms;launcher-app:lintVitalRelease
87ms;launcher-app:compileReleaseNdk
1308ms;launcher-app:preDexRelease
6800ms;launcher-app:dexRelease
1939ms;launcher-app:packageRelease
134ms;launcher-app:zipalignRelease
14787ms;launcher-app:publishApkRelease
