clean check connectedCheck increaseVersionCode assembleRelease publishApkRelease -PdisablePreDex

115000ms;Emulator
498ms;barcodescanner:clean
668ms;launcher-app:clean
251ms;barcodescanner:preBuild
344ms;barcodescanner:compileDebugAidl
240ms;barcodescanner:compileDebugRenderscript
78ms;barcodescanner:generateDebugBuildConfig
195ms;barcodescanner:mergeDebugAssets
1996ms;barcodescanner:packageDebugResources
361ms;barcodescanner:processDebugManifest
414ms;barcodescanner:processDebugResources
3727ms;barcodescanner:compileDebugJava
55ms;barcodescanner:generateReleaseBuildConfig
671ms;barcodescanner:packageReleaseResources
85ms;barcodescanner:processReleaseManifest
315ms;barcodescanner:processReleaseResources
1515ms;barcodescanner:compileReleaseJava
11808ms;barcodescanner:lint
430ms;barcodescanner:packageReleaseJar
153ms;barcodescanner:bundleRelease
59ms;launcher-app:preBuild
129ms;launcher-app:prepareComAndroidSupportSupportV42103Library
853ms;launcher-app:prepareDkAauCsGirafGirafComponent13SNAPSHOTLibrary
122ms;launcher-app:prepareDkAauCsGirafLocalDb11SNAPSHOTLibrary
51ms;launcher-app:prepareDkAauCsGirafOasisLib11SNAPSHOTLibrary
70ms;launcher-app:prepareFrAvianeyComViewpagerindicatorLibrary241Library
123ms;launcher-app:prepareWorkspaceBarcodescannerUnspecifiedLibrary
20268ms;launcher-app:mergeDebugResources
196ms;launcher-app:processDebugManifest
1214ms;launcher-app:processDebugResources
1724ms;launcher-app:compileDebugJava
75ms;launcher-app:renameApk
19454ms;launcher-app:mergeReleaseResources
141ms;launcher-app:processReleaseManifest
698ms;launcher-app:processReleaseResources
728ms;launcher-app:compileReleaseJava
19885ms;launcher-app:mergeUnsignedBuildResources
137ms;launcher-app:processUnsignedBuildManifest
626ms;launcher-app:processUnsignedBuildResources
744ms;launcher-app:compileUnsignedBuildJava
10742ms;launcher-app:lint
136ms;barcodescanner:packageDebugJar
158ms;barcodescanner:bundleDebug
104ms;barcodescanner:processDebugTestManifest
464ms;barcodescanner:mergeDebugTestResources
310ms;barcodescanner:processDebugTestResources
160ms;barcodescanner:compileDebugTestJava
9821ms;barcodescanner:preDexDebugTest
1571ms;barcodescanner:dexDebugTest
1064ms;barcodescanner:packageDebugTest
104ms;barcodescanner:connectedAndroidTest
72ms;launcher-app:unzipJacocoAgent
1893ms;launcher-app:instrumentDebug
50519ms;launcher-app:dexDebug
2266ms;launcher-app:packageDebug
647ms;launcher-app:zipalignDebug
59ms;launcher-app:compileDebugTestNdk
260ms;launcher-app:prepareComAndroidSupportTestEspressoEspressoCore20Library
82ms;launcher-app:processDebugTestManifest
325ms;launcher-app:processDebugTestResources
821ms;launcher-app:compileDebugTestJava
25022ms;launcher-app:dexDebugTest
895ms;launcher-app:packageDebugTest
114148ms;launcher-app:connectedAndroidTest
1913ms;launcher-app:createDebugCoverageReport

103ms;launcher-app:increaseVersionCode
69ms;barcodescanner:mergeReleaseProguardFiles
710ms;barcodescanner:preBuild
71ms;barcodescanner:compileReleaseAidl
135ms;barcodescanner:compileReleaseRenderscript
121ms;barcodescanner:packageReleaseResources
59ms;barcodescanner:processReleaseManifest
58ms;barcodescanner:processReleaseResources
132ms;barcodescanner:compileReleaseJava
172ms;barcodescanner:packageReleaseJar
74ms;launcher-app:preBuild
187ms;launcher-app:prepareDkAauCsGirafGirafComponent13SNAPSHOTLibrary
53ms;launcher-app:prepareWorkspaceBarcodescannerUnspecifiedLibrary
76ms;launcher-app:renameApk
78ms;launcher-app:generateReleaseBuildConfig
1194ms;launcher-app:mergeReleaseResources
602ms;launcher-app:processReleaseManifest
1845ms;launcher-app:processReleaseResources
3226ms;launcher-app:compileReleaseJava
7897ms;launcher-app:lintVitalRelease
49665ms;launcher-app:dexRelease
2646ms;launcher-app:packageRelease
241ms;launcher-app:zipalignRelease
11148ms;launcher-app:publishApkRelease
