 129000ms  :emulator
    378ms  :barcodescanner:preBuild
    213ms  :barcodescanner:compileDebugAidl
    206ms  :barcodescanner:compileDebugRenderscript
    114ms  :barcodescanner:packageDebugResources
     70ms  :barcodescanner:processDebugResources
    128ms  :barcodescanner:compileDebugJava
     86ms  :barcodescanner:compileReleaseRenderscript
    129ms  :barcodescanner:packageReleaseResources
     94ms  :barcodescanner:compileReleaseJava
  16263ms  :barcodescanner:lint
     59ms  :barcodescanner:packageReleaseJar
     54ms  :launcher-app:preBuild
    156ms  :launcher-app:prepareDkAauCsGirafGirafComponent1040Library
    384ms  :launcher-app:mergeDebugResources
    294ms  :launcher-app:processDebugResources
     89ms  :launcher-app:compileDebugJava
     52ms  :launcher-app:generateReleaseBuildConfig
    328ms  :launcher-app:mergeReleaseResources
    409ms  :launcher-app:processReleaseManifest
    953ms  :launcher-app:processReleaseResources
   4038ms  :launcher-app:compileReleaseJava
    571ms  :launcher-app:mergeUnsignedBuildResources
    299ms  :launcher-app:processUnsignedBuildResources
    105ms  :launcher-app:compileUnsignedBuildJava
  16834ms  :launcher-app:lint
     88ms  :launcher-app:unzipJacocoAgent
     87ms  :launcher-app:instrumentDebug
 129070ms  :launcher-app:preDexDebug
  10886ms  :launcher-app:dexDebug
   4506ms  :launcher-app:packageDebug
    559ms  :launcher-app:zipalignDebug
    129ms  :launcher-app:compileDebugTestJava
  33054ms  :launcher-app:preDexDebugTest
   1931ms  :launcher-app:dexDebugTest
    956ms  :launcher-app:packageDebugTest
  73273ms  :launcher-app:connectedAndroidTest
     95ms  :launcher-app:createDebugCoverageReport
     96ms  :barcodescanner:mergeReleaseProguardFiles
    671ms  :barcodescanner:preBuild
    126ms  :barcodescanner:compileReleaseAidl
    118ms  :barcodescanner:compileReleaseRenderscript
    930ms  :barcodescanner:packageReleaseResources
     63ms  :barcodescanner:processReleaseResources
     99ms  :barcodescanner:compileReleaseJava
    137ms  :barcodescanner:packageReleaseJar
     82ms  :launcher-app:preBuild
    334ms  :launcher-app:prepareDkAauCsGirafGirafComponent1040Library
     53ms  :launcher-app:renameApk
    598ms  :launcher-app:mergeReleaseResources
    204ms  :launcher-app:processReleaseResources
     70ms  :launcher-app:compileReleaseJava
  10034ms  :launcher-app:lintVitalRelease
    768ms  :launcher-app:preDexRelease
  10253ms  :launcher-app:dexRelease
   4490ms  :launcher-app:packageRelease
    167ms  :launcher-app:zipalignRelease
