129000ms;emulator
263ms;barcodescanner:clean
676ms;launcher-app:clean
193ms;barcodescanner:preBuild
193ms;barcodescanner:compileDebugAidl
157ms;barcodescanner:compileDebugRenderscript
206ms;barcodescanner:mergeDebugAssets
1954ms;barcodescanner:packageDebugResources
348ms;barcodescanner:processDebugManifest
336ms;barcodescanner:processDebugResources
4795ms;barcodescanner:compileDebugJava
52ms;barcodescanner:compileReleaseAidl
92ms;barcodescanner:compileReleaseRenderscript
50ms;barcodescanner:mergeReleaseAssets
1154ms;barcodescanner:packageReleaseResources
181ms;barcodescanner:processReleaseManifest
404ms;barcodescanner:processReleaseResources
1957ms;barcodescanner:compileReleaseJava
13194ms;barcodescanner:lint
447ms;barcodescanner:packageReleaseJar
60ms;barcodescanner:compileReleaseNdk
250ms;barcodescanner:bundleRelease
113ms;launcher-app:preBuild
155ms;launcher-app:prepareComAndroidSupportSupportV42103Library
1008ms;launcher-app:prepareDkAauCsGirafGirafComponent1040Library
465ms;launcher-app:prepareDkAauCsGirafLocalDb514Library
95ms;launcher-app:prepareDkAauCsGirafOasisLib900Library
135ms;launcher-app:prepareDkAauCsGirafShowcaseView100Library
91ms;launcher-app:prepareFrAvianeyComViewpagerindicatorLibrary241Library
169ms;launcher-app:prepareWorkspaceBarcodescannerUnspecifiedLibrary
56ms;launcher-app:mergeDebugAssets
29760ms;launcher-app:mergeDebugResources
285ms;launcher-app:processDebugManifest
1223ms;launcher-app:processDebugResources
1722ms;launcher-app:compileDebugJava
26897ms;launcher-app:mergeReleaseResources
132ms;launcher-app:processReleaseManifest
784ms;launcher-app:processReleaseResources
1024ms;launcher-app:compileReleaseJava
27874ms;launcher-app:mergeUnsignedBuildResources
288ms;launcher-app:processUnsignedBuildManifest
971ms;launcher-app:processUnsignedBuildResources
869ms;launcher-app:compileUnsignedBuildJava
15331ms;launcher-app:lint
179ms;barcodescanner:packageDebugJar
162ms;barcodescanner:bundleDebug
111ms;barcodescanner:processDebugTestManifest
442ms;barcodescanner:mergeDebugTestResources
431ms;barcodescanner:processDebugTestResources
63ms;barcodescanner:compileDebugTestJava
9341ms;barcodescanner:preDexDebugTest
1914ms;barcodescanner:dexDebugTest
1175ms;barcodescanner:packageDebugTest
152ms;barcodescanner:connectedAndroidTest
92ms;launcher-app:unzipJacocoAgent
1651ms;launcher-app:instrumentDebug
105559ms;launcher-app:dexDebug
3783ms;launcher-app:packageDebug
625ms;launcher-app:zipalignDebug
284ms;launcher-app:prepareComAndroidSupportTestEspressoEspressoCore20Library
59ms;launcher-app:processDebugTestManifest
395ms;launcher-app:processDebugTestResources
476ms;launcher-app:compileDebugTestJava
24672ms;launcher-app:dexDebugTest
934ms;launcher-app:packageDebugTest
77797ms;launcher-app:connectedAndroidTest
1918ms;launcher-app:createDebugCoverageReport
113ms;launcher-app:increaseVersionCode
74ms;barcodescanner:mergeReleaseProguardFiles
561ms;barcodescanner:preBuild
62ms;barcodescanner:compileReleaseAidl
129ms;barcodescanner:compileReleaseRenderscript
945ms;barcodescanner:packageReleaseResources
60ms;barcodescanner:processReleaseResources
174ms;barcodescanner:compileReleaseJava
126ms;barcodescanner:packageReleaseJar
66ms;launcher-app:preBuild
199ms;launcher-app:prepareDkAauCsGirafGirafComponent1040Library
96ms;launcher-app:prepareWorkspaceBarcodescannerUnspecifiedLibrary
77ms;launcher-app:generateReleaseBuildConfig
458ms;launcher-app:mergeReleaseResources
537ms;launcher-app:processReleaseManifest
2068ms;launcher-app:processReleaseResources
4022ms;launcher-app:compileReleaseJava
9550ms;launcher-app:lintVitalRelease
58ms;launcher-app:compileReleaseNdk
95341ms;launcher-app:dexRelease
3652ms;launcher-app:packageRelease
296ms;launcher-app:zipalignRelease
10443ms;launcher-app:publishApkRelease
