Milliseconds;Task
18000ms;Emulator\_fast
(115000; Emulator\_slow)
309ms;GIRAF\_Components:preBuild
105ms;OasisLib:mergeReleaseProguardFiles
94ms;OasisLib:preBuild
154ms;local-db:preBuild
63ms;local-db:compileReleaseAidl
86ms;metadata\_local:compileJava
60ms;metadata\_local:jar
65ms;local-db:compileReleaseJava
1015ms;local-db:packageReleaseJar
63ms;metadata:compileJava
92ms;OasisLib:compileReleaseJava
50ms;GIRAF\_Components:prepareWorkspaceOasisLibUnspecifiedLibrary
238ms;GIRAF\_Components:mergeDebugResources
200ms;GIRAF\_Components:processDebugResources
114ms;GIRAF\_Components:compileDebugJava
243ms;GIRAF\_Components:mergeReleaseResources
171ms;GIRAF\_Components:processReleaseResources
53ms;GIRAF\_Components:compileReleaseJava
11826ms;GIRAF\_Components:lint
60ms;OasisLib:compileDebugJava
3872ms;OasisLib:lint
128ms;barcodescanner:preBuild
102ms;barcodescanner:processDebugResources
161ms;barcodescanner:compileDebugJava
72ms;barcodescanner:packageReleaseResources
67ms;barcodescanner:processReleaseResources
69ms;barcodescanner:compileReleaseJava
6026ms;barcodescanner:lint
207ms;GIRAF\_Components:packageReleaseResources
116ms;GIRAF\_Components:bundleRelease
110ms;launcher-app:preBuild
89ms;launcher-app:prepareWorkspaceGIRAF\_ComponentsUnspecifiedLibrary
348ms;launcher-app:mergeDebugResources
175ms;launcher-app:processDebugResources
59ms;launcher-app:compileDebugJava
130ms;launcher-app:mergeReleaseResources
87ms;launcher-app:processReleaseResources
50ms;launcher-app:compileReleaseJava
7292ms;launcher-app:lint
976ms;local-db:lint
81ms;GIRAF\_Components:packageDebugResources
81ms;GIRAF\_Components:mergeDebugTestResources
91007ms;GIRAF\_Components:connectedAndroidTest
139ms;OasisLib:unzipJacocoAgent
73ms;OasisLib:instrumentDebug
56ms;OasisLib:packageDebugResources
98ms;OasisLib:compileDebugTestJava
59ms;OasisLib:packageDebugTest
152473ms;OasisLib:connectedAndroidTest
2376ms;OasisLib:createDebugCoverageReport
53ms;launcher-app:dexDebug
14950ms;local-db:connectedAndroidTest
173ms;GIRAF\_Components:preBuild
111ms;OasisLib:mergeReleaseProguardFiles
81ms;OasisLib:preBuild
92ms;local-db:preBuild
71ms;metadata\_local:compileJava
186ms;GIRAF\_Components:mergeReleaseResources
204ms;GIRAF\_Components:processReleaseResources
64ms;GIRAF\_Components:compileReleaseJava
184ms;GIRAF\_Components:packageReleaseResources
117ms;GIRAF\_Components:bundleRelease
139ms;barcodescanner:preBuild
66ms;barcodescanner:processReleaseResources
881ms;barcodescanner:compileReleaseJava
81ms;launcher-app:preBuild
69ms;launcher-app:prepareWorkspaceGIRAF\_ComponentsUnspecifiedLibrary
191ms;launcher-app:mergeReleaseResources
96ms;launcher-app:processReleaseResources
6652ms;launcher-app:lintVitalRelease
89ms;launcher-app:dexRelease
